Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP
1,Nikola Jokić\jokicni01,C,25,DEN,72,2488,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,,12.2,3.4,15.6,0.301,,9.1,3.0,12.1,8.8
2,Rudy Gobert\goberru01,C,28,UTA,71,2187,23.5,0.683,0.007,0.646,12.2,33.5,23.3,6.0,0.9,7.0,13.7,17.0,,6.1,5.2,11.3,0.248,,2.1,2.8,4.9,3.8
3,Damian Lillard\lillada01,PG,30,POR,67,2398,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,,9.6,0.8,10.4,0.209,,7.5,-1.3,6.3,5.0
4,Giannis Antetokounmpo\antetgi01,PF,26,MIL,61,2013,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,,6.9,3.3,10.2,0.244,,6.2,2.8,9.0,5.6
5,Jimmy Butler\butleji01,SF,31,MIA,52,1745,26.5,0.607,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,,6.6,2.7,9.3,0.255,,5.4,2.3,7.7,4.3
6,Chris Paul\paulch01,PG,35,PHO,70,2199,21.4,0.599,0.294,0.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,,6.5,2.7,9.2,0.201,,3.5,1.1,4.6,3.6
7,Stephen Curry\curryst01,PG,32,GSW,63,2152,26.3,0.655,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,,6.5,2.5,9.0,0.201,,8.3,0.4,8.7,5.8
8,Bam Adebayo\adebaba01,C,23,MIA,64,2143,22.7,0.626,0.010,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,,5.6,3.2,8.8,0.197,,2.9,2.0,4.9,3.7
9,Joel Embiid\embiijo01,C,26,PHI,51,1585,30.3,0.636,0.171,0.610,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,,5.6,3.2,8.8,0.266,,6.3,1.2,7.5,3.8
10,Kawhi Leonard\leonaka01,SF,29,LAC,52,1773,26.0,0.622,0.280,0.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,,6.4,2.4,8.8,0.238,,6.0,1.3,7.3,4.2
11,Zion Williamson\willizi01,PF,20,NOP,61,2026,27.1,0.649,0.033,0.510,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,,7.1,1.6,8.7,0.205,,6.1,-0.3,5.8,4.0
12,Deandre Ayton\aytonde01,C,22,PHO,69,2115,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,,5.3,3.1,8.4,0.191,,1.1,0.1,1.2,1.7
